symbol,date,open,high,low,close,volume
FB,2017-11-06,178.56,180.45,178.31,180.17,11046281
FB,2017-11-07,180.5,180.7478,178.96,180.25,10151151
FB,2017-11-08,179.79,180.35,179.11,179.56,7998753
FB,2017-11-09,178.28,179.4,177.09,179.3,9921664
FB,2017-11-10,178.35,179.0999,177.96,178.455,7922843
FB,2017-11-13,177.49,179.04,177.3,178.78,6441523
FB,2017-11-14,178.13,178.97,177.18,178.06,7704943
FB,2017-11-15,176.84,178.57,176.4,177.96,8207574
FB,2017-11-16,178.76,179.83,178.5,179.58,10640182
FB,2017-11-17,179.3,179.98,178.9,178.98,10022890
FB,2017-11-20,178.87,179.5,178.1,178.74,7728454
FB,2017-11-21,179.1,181.89,178.99,181.83,11649606
FB,2017-11-22,181.3,181.73,180.44,180.85,8476177
FB,2017-11-24,180.44,183.15,180.29,182.78,7897540
FB,2017-11-27,182.62,183.73,181.99,183.03,8537571
FB,2017-11-28,183.6,184.25,182.09,182.43,11058474
FB,2017-11-29,181.88,181.97,174.0,175.12,36510788
FB,2017-11-30,176.85,178.275,175.2,177.15,18821505
FB,2017-12-01,176.03,177.48,172.34,174.99,15572635
FB,2017-12-04,176.29,176.57,170.79,171.47,20575305
FB,2017-12-05,170.46,175.38,169.01,172.83,15220915
FB,2017-12-06,172.38,176.77,171.9,176.08,14110975
FB,2017-12-07,175.8,180.39,175.8,180.2,16413372
FB,2017-12-08,181.63,182.28,178.7401,179.0,14251392
FB,2017-12-11,179.31,180.22,178.8,179.02,9739846
FB,2017-12-12,178.6,179.18,176.6,176.96,13071102
FB,2017-12-13,177.43,179.16,177.25,178.31,11159741
FB,2017-12-14,178.29,180.3601,177.68,178.44,10179053
FB,2017-12-15,178.64,180.4934,178.36,180.17,16659376
FB,2017-12-18,181.01,181.3,179.75,180.9,11174503
FB,2017-12-19,180.0,180.08,178.22,179.45,11810193
FB,2017-12-20,179.82,179.82,177.36,177.88,9697549
FB,2017-12-21,177.93,178.68,177.05,177.45,9116769
FB,2017-12-22,177.14,177.53,176.23,177.21,6531288
FB,2017-12-26,176.63,177.0,174.67,175.99,6193195
FB,2017-12-27,176.54,178.44,176.26,177.51,7095002
FB,2017-12-28,177.95,178.9367,177.68,177.89,8411684
